Number of deaths due to HIV/AIDS,Year,Number
Number of deaths due to HIV/AIDS,2020,32000
Number of deaths due to HIV/AIDS,2019,35000
Number of deaths due to HIV/AIDS,2018,36000
Number of deaths due to HIV/AIDS,2017,38000
Number of deaths due to HIV/AIDS,2016,39000
Number of deaths due to HIV/AIDS,2015,41000
Number of deaths due to HIV/AIDS,2014,43000
Number of deaths due to HIV/AIDS,2013,50000
Number of deaths due to HIV/AIDS,2012,60000
Number of deaths due to HIV/AIDS,2011,61000
Number of deaths due to HIV/AIDS,2010,64000
Number of deaths due to HIV/AIDS,2009,69000
Number of deaths due to HIV/AIDS,2008,72000
Number of deaths due to HIV/AIDS,2007,88000
Number of deaths due to HIV/AIDS,2006,100000
Number of deaths due to HIV/AIDS,2005,100000
Number of deaths due to HIV/AIDS,2004,100000
Number of deaths due to HIV/AIDS,2003,99000
Number of deaths due to HIV/AIDS,2002,96000
Number of deaths due to HIV/AIDS,2001,91000
Number of deaths due to HIV/AIDS,2000,86000
