Percentage of pregnant women taking ARV,Year,Percentage
Percentage of pregnant women taking ARV,2020,84
Percentage of pregnant women taking ARV,2019,81
Percentage of pregnant women taking ARV,2018,83
Percentage of pregnant women taking ARV,2017,81
Percentage of pregnant women taking ARV,2016,72
Percentage of pregnant women taking ARV,2015,75
Percentage of pregnant women taking ARV,2014,79
Percentage of pregnant women taking ARV,2013,84
Percentage of pregnant women taking ARV,2012,85
Percentage of pregnant women taking ARV,2011,62
Percentage of pregnant women taking ARV,2010,48
